title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Dragon Ball,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
Dragon Ball GT,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2
Elfen Lied,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3
FLCL,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Hell Girl,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12
Ninja Nonsense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Air Master,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Shrine of the Morning Mist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10
Cardcaptor Sakura,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,13
Daa! Daa! Daa!,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Dan Doh!!,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
Case Closed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8
E's Otherwise,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Eureka Seven,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Flame of Recca,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Gankutsuou: The Count of Monte Cristo,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,11
Genshiken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
Girls Bravo,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,10
The Gokusen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Gravitation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Agatha Christie's Great Detectives Poirot and Marple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12
Great Teacher Onizuka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Rave Master,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2
